customer_id,age,gender,region,vehicle_type,vehicle_age,annual_mileage,prior_claims,policy_tenure_years,coverage_level,credit_score,has_telematics,will_claim
MOT700000,47.0,M,Central,SUV,1,10841.0,1,1.2,ThirdParty,802.0,0,0
MOT700001,31.0,F,North,Sedan,2,12489.0,0,0.1,Premium,397.0,1,0
MOT700002,73.0,F,East,Hatchback,0,10132.0,0,12.2,Comprehensive,688.0,0,0
MOT700003,46.0,M,West,Van,4,10010.0,0,5.1,Comprehensive,307.0,0,0
MOT700004,41.0,M,East,Sedan,16,7139.0,1,6.2,Comprehensive,492.0,0,0
MOT700005,59.0,M,East,Sports,6,14180.0,0,2.5,Comprehensive,328.0,0,0
MOT700006,42.0,M,South,Hatchback,12,13357.0,0,1.0,ThirdParty,459.0,0,0
MOT700007,50.0,F,North,Sedan,0,9307.0,0,9.1,Comprehensive,336.0,0,0
MOT700008,40.0,M,South,Hatchback,16,16783.0,0,1.1,Comprehensive,795.0,0,0
MOT700009,44.0,F,Central,Hatchback,17,2112.0,0,5.6,ThirdParty,582.0,0,1
MOT700010,26.0,M,North,Sedan,13,4263.0,0,0.3,Premium,621.0,0,0
MOT700011,66.0,M,North,SUV,19,22035.0,0,4.9,Premium,870.0,0,0
MOT700012,20.0,M,West,Hatchback,18,15522.0,0,9.2,Premium,673.0,1,1
MOT700013,34.0,M,Central,Van,4,10194.0,0,0.7,Comprehensive,375.0,0,0
MOT700014,40.0,M,Central,SUV,5,12791.0,0,2.9,Comprehensive,442.0,0,0
MOT700015,52.0,F,North,Sedan,17,8334.0,1,7.5,Comprehensive,749.0,0,1
MOT700016,71.0,F,North,Sedan,4,18568.0,1,1.4,ThirdParty,816.0,0,0
MOT700017,75.0,F,West,Sedan,12,16458.0,0,12.0,ThirdParty,604.0,1,0
MOT700018,21.0,F,West,Sedan,5,7944.0,1,2.2,Comprehensive,840.0,0,1
MOT700019,66.0,F,Central,SUV,15,12189.0,0,1.9,Comprehensive,815.0,0,0
MOT700020,37.0,F,Central,Hatchback,9,12399.0,3,1.8,ThirdParty,,0,1
MOT700021,,M,East,Sedan,0,13693.0,0,6.5,ThirdParty,448.0,1,1
MOT700022,24.0,M,Central,Sedan,16,,0,3.3,ThirdParty,792.0,1,0
MOT700023,25.0,M,Central,Sedan,1,11153.0,0,4.3,Comprehensive,480.0,0,0
MOT700024,75.0,M,West,Sedan,14,8024.0,0,0.4,Premium,344.0,0,0
MOT700025,40.0,F,West,Sedan,2,17513.0,0,10.7,ThirdParty,848.0,0,0
MOT700026,25.0,M,South,Sports,18,15389.0,1,7.0,ThirdParty,427.0,1,0
MOT700027,49.0,F,South,Sedan,14,5656.0,0,7.8,ThirdParty,304.0,0,0
MOT700028,40.0,F,North,SUV,2,6741.0,2,4.2,ThirdParty,462.0,0,0
MOT700029,52.0,F,Central,SUV,9,7550.0,0,2.5,ThirdParty,454.0,1,0
MOT700030,62.0,M,West,Van,7,12003.0,2,1.3,ThirdParty,522.0,0,1
MOT700031,75.0,M,East,SUV,17,15982.0,0,18.0,Comprehensive,622.0,0,0
MOT700032,42.0,F,North,SUV,17,15124.0,0,5.0,Premium,411.0,0,0
MOT700033,39.0,M,Central,SUV,8,17538.0,1,8.6,Premium,527.0,0,0
MOT700034,60.0,M,South,Hatchback,19,15385.0,0,16.7,Premium,492.0,1,0
MOT700035,71.0,F,Central,SUV,3,10983.0,0,7.4,Comprehensive,776.0,1,0
MOT700036,28.0,M,North,SUV,4,15512.0,0,10.9,Comprehensive,407.0,0,0
MOT700037,39.0,F,Central,SUV,13,3078.0,0,1.2,Comprehensive,535.0,0,0
MOT700038,37.0,M,Central,Hatchback,5,8619.0,0,0.7,ThirdParty,792.0,0,0
MOT700039,22.0,F,North,Sedan,9,2123.0,2,0.4,Comprehensive,707.0,0,0
MOT700040,78.0,M,South,Hatchback,7,7869.0,1,8.4,ThirdParty,462.0,1,0
MOT700041,65.0,M,Central,SUV,11,5158.0,0,7.0,Comprehensive,408.0,0,0
MOT700042,59.0,M,East,Van,7,12635.0,0,1.8,ThirdParty,485.0,0,0
MOT700043,40.0,M,North,Hatchback,12,5389.0,0,3.9,ThirdParty,373.0,0,0
MOT700044,55.0,M,North,Sedan,6,12239.0,2,1.5,ThirdParty,575.0,1,0
MOT700045,57.0,F,West,Hatchback,15,11729.0,0,4.9,Comprehensive,501.0,0,0
MOT700046,25.0,M,South,Hatchback,4,13687.0,0,4.6,Comprehensive,512.0,0,0
MOT700047,65.0,F,Central,Van,19,12097.0,1,5.4,Premium,492.0,0,0
MOT700048,47.0,M,East,Hatchback,17,11778.0,1,3.5,Comprehensive,409.0,0,1
MOT700049,75.0,F,North,Sedan,15,5218.0,1,1.0,Comprehensive,,0,0
MOT700050,22.0,M,Central,Sedan,9,26989.0,0,11.0,Comprehensive,,1,0
MOT700051,53.0,F,Central,Van,6,10491.0,0,3.8,ThirdParty,337.0,1,0
MOT700052,53.0,M,West,SUV,11,17171.0,0,0.4,Comprehensive,798.0,0,0
MOT700053,63.0,M,North,SUV,14,14537.0,0,1.1,Comprehensive,779.0,0,0
MOT700054,62.0,M,West,Hatchback,14,11007.0,0,1.7,Comprehensive,379.0,0,1
MOT700055,33.0,M,Central,Sedan,13,8679.0,1,2.3,Comprehensive,812.0,0,0
MOT700056,74.0,F,East,Hatchback,5,11574.0,0,22.5,ThirdParty,882.0,0,0
MOT700057,39.0,F,Central,Sedan,3,13444.0,0,2.2,Comprehensive,565.0,0,0
MOT700058,39.0,F,South,Hatchback,9,3951.0,1,5.7,Comprehensive,837.0,0,0
MOT700059,32.0,F,North,Hatchback,17,14600.0,1,10.6,Comprehensive,427.0,0,0
MOT700060,19.0,F,Central,Sports,0,8630.0,0,20.0,Comprehensive,575.0,0,0
MOT700061,75.0,M,East,Sedan,8,18483.0,1,3.5,Comprehensive,654.0,1,1
MOT700062,78.0,M,East,SUV,16,17769.0,0,6.9,Comprehensive,534.0,0,0
MOT700063,76.0,M,West,Hatchback,5,9444.0,1,6.5,ThirdParty,678.0,0,1
MOT700064,52.0,F,North,SUV,0,5965.0,0,1.0,ThirdParty,809.0,0,0
MOT700065,21.0,F,North,Sedan,18,4749.0,0,8.9,ThirdParty,869.0,0,0
MOT700066,35.0,M,Central,Sedan,12,12944.0,0,4.7,ThirdParty,581.0,0,1
MOT700067,54.0,M,South,Hatchback,9,11834.0,1,2.5,Comprehensive,528.0,0,0
MOT700068,77.0,F,West,Sedan,5,20298.0,0,5.0,ThirdParty,473.0,1,0
MOT700069,,M,West,SUV,7,8164.0,1,12.3,Comprehensive,879.0,0,0
MOT700070,76.0,F,West,Sedan,6,7724.0,0,8.4,ThirdParty,600.0,0,0
MOT700071,22.0,M,East,Sedan,17,7338.0,0,3.9,Comprehensive,563.0,0,0
MOT700072,68.0,F,South,SUV,9,,0,0.9,ThirdParty,815.0,0,0
MOT700073,56.0,F,North,Sports,3,7352.0,1,23.8,Premium,493.0,0,0
MOT700074,45.0,M,South,Hatchback,12,13970.0,0,2.2,Comprehensive,618.0,1,0
MOT700075,47.0,F,North,Sedan,17,10939.0,1,2.1,Comprehensive,900.0,0,1
MOT700076,,F,North,SUV,3,6993.0,0,3.1,Comprehensive,600.0,0,0
MOT700077,67.0,F,West,Hatchback,4,16124.0,1,5.1,Comprehensive,424.0,1,0
MOT700078,72.0,F,West,Hatchback,10,,0,0.6,Comprehensive,360.0,0,0
MOT700079,36.0,M,North,Van,3,11412.0,0,3.9,ThirdParty,445.0,1,0
MOT700080,23.0,M,West,SUV,8,15967.0,1,2.3,Comprehensive,714.0,1,0
MOT700081,65.0,F,West,Hatchback,8,17363.0,1,5.3,ThirdParty,652.0,0,0
MOT700082,68.0,F,East,Hatchback,3,17555.0,0,13.7,Comprehensive,405.0,1,0
MOT700083,30.0,M,East,Sports,1,10513.0,1,4.0,ThirdParty,445.0,0,0
MOT700084,36.0,M,South,Sedan,18,17736.0,0,5.6,Comprehensive,451.0,0,0
MOT700085,73.0,F,South,Hatchback,15,12258.0,0,1.6,ThirdParty,312.0,0,0
MOT700086,55.0,F,West,SUV,17,8862.0,1,1.1,Comprehensive,825.0,0,1
MOT700087,70.0,F,Central,Sedan,9,15939.0,0,0.8,ThirdParty,520.0,1,0
MOT700088,70.0,M,West,SUV,19,9692.0,0,8.2,Comprehensive,347.0,0,0
MOT700089,44.0,F,East,Hatchback,12,13091.0,0,1.1,Premium,759.0,0,0
