claim_id,claim_amount,incident_type,region,policy_age_months,claimant_age,injuries,vehicle_damage_score,num_parties,severity
SEV900000,108057.0,Accident,East,156,38,0,9.8,1,Severe
SEV900001,55025.0,Weather,East,10,53,0,6.6,3,Severe
SEV900002,4950.0,Fire,East,108,22,1,8.4,3,Severe
SEV900003,77621.0,Accident,South,143,53,0,5.5,3,Minor
SEV900004,2520.0,Weather,North,2,74,0,9.3,3,Minor
SEV900005,6925.0,Weather,North,173,46,0,9.4,1,Moderate
SEV900006,2110.0,Accident,East,51,48,0,7.5,3,Moderate
SEV900007,159614.0,Liability,South,231,53,0,6.3,4,Moderate
SEV900008,,Accident,North,221,61,3,8.4,4,Severe
SEV900009,61671.0,Weather,South,106,78,0,6.2,1,Minor
SEV900010,18265.0,Fire,North,203,27,0,1.5,2,Minor
SEV900011,122658.0,Accident,Central,25,33,1,5.1,4,Moderate
SEV900012,2272.0,Weather,East,199,37,1,0.3,2,Minor
SEV900013,26150.0,Accident,North,194,72,1,5.4,2,Moderate
SEV900014,13463.0,Accident,East,24,63,0,1.7,3,Minor
SEV900015,10570.0,Accident,North,2,33,0,8.5,1,Minor
SEV900016,25890.0,Accident,East,123,50,0,,3,Moderate
SEV900017,33326.0,Accident,East,53,51,2,7.6,4,Severe
SEV900018,11015.0,Accident,Central,197,68,0,0.1,1,Minor
SEV900019,11845.0,Liability,East,143,20,0,8.6,2,Moderate
SEV900020,79476.0,Theft,South,199,54,0,2.5,4,Minor
SEV900021,7242.0,Accident,South,97,41,1,5.7,2,Moderate
SEV900022,16344.0,Theft,South,210,54,0,3.3,4,Moderate
SEV900023,76164.0,Weather,South,1,66,1,9.4,2,Severe
SEV900024,218983.0,Weather,Central,180,54,0,8.9,3,Severe
SEV900025,90099.0,Fire,West,116,40,1,0.5,1,Moderate
SEV900026,80760.0,Accident,East,16,42,0,5.6,3,Minor
SEV900027,45191.0,Accident,West,60,31,0,6.3,4,Moderate
SEV900028,8239.0,Weather,Central,171,33,0,3.1,2,Minor
SEV900029,27613.0,Theft,East,183,50,0,3.4,2,Minor
SEV900030,6307.0,Theft,West,138,19,0,6.3,1,Minor
SEV900031,10028.0,Liability,West,33,44,0,7.8,1,Minor
SEV900032,53748.0,Theft,Central,211,36,1,3.8,2,Moderate
SEV900033,93500.0,Theft,East,61,22,0,6.5,4,Moderate
SEV900034,95334.0,Accident,East,120,23,0,4.7,2,Moderate
SEV900035,80629.0,Accident,North,35,57,0,5.1,2,Moderate
SEV900036,40637.0,Accident,East,186,37,0,0.7,2,Minor
SEV900037,11932.0,Liability,West,202,69,0,6.3,4,Minor
SEV900038,14074.0,Accident,North,214,66,0,3.5,2,Minor
SEV900039,56781.0,Accident,South,174,28,0,8.8,2,Moderate
SEV900040,71126.0,Accident,East,74,73,0,6.8,4,Severe
SEV900041,17377.0,Accident,Central,230,73,0,6.4,3,Moderate
SEV900042,73557.0,Theft,North,76,61,1,9.0,4,Severe
SEV900043,34253.0,Weather,South,192,58,0,1.8,1,Minor
SEV900044,5587.0,Liability,West,138,60,0,2.5,1,Minor
SEV900045,28175.0,Weather,South,131,41,1,9.3,4,Severe
SEV900046,66286.0,Liability,South,145,25,0,2.9,2,Minor
SEV900047,10135.0,Accident,North,123,67,0,0.7,4,Minor
SEV900048,6219.0,Theft,Central,180,57,0,7.0,3,Minor
SEV900049,38783.0,Weather,South,145,26,0,4.5,2,Moderate
SEV900050,2841.0,Accident,Central,132,42,0,7.1,4,Minor
SEV900051,,Theft,North,214,21,0,3.3,2,Minor
SEV900052,3695.0,Liability,Central,100,49,0,0.1,3,Minor
