customer_id,age,annual_income,total_premium,num_policies,tenure_years,region,digital_engagement,claims_ratio,occupation,segment
SEG800000,39,87189.0,3932.0,4,2.9,West,0.14,0.061,Software Developer,Budget
SEG800001,70,189321.0,10297.0,4,1.6,South,0.62,0.322,Plumber,Budget
SEG800002,50,245695.0,4973.0,1,2.6,East,0.03,0.27,Engineer,Budget
SEG800003,74,316578.0,15432.0,3,1.3,South,0.87,0.151,Police Officer,Mainstream
SEG800004,36,532145.0,16678.0,3,0.1,West,0.04,0.082,Chef,Mainstream
SEG800005,75,,19075.0,4,1.3,North,0.3,0.305,Plumber,Mainstream
SEG800006,22,370913.0,13056.0,3,5.7,North,0.41,0.239,Farmer,Mainstream
SEG800007,68,325569.0,13546.0,3,8.3,South,0.91,0.434,Police Officer,Mainstream
SEG800008,33,89413.0,2749.0,3,7.1,West,0.24,0.057,Carpenter,Budget
SEG800009,65,708141.0,28569.0,5,4.0,South,0.66,0.166,Shop Owner,Affluent
SEG800010,60,231837.0,3777.0,3,17.4,North,0.22,0.032,Farmer,Budget
SEG800011,63,296144.0,9568.0,5,3.4,North,0.92,0.147,Software Developer,Mainstream
SEG800012,35,1507439.0,79922.0,5,14.2,South,0.31,0.297,Shop Owner,HighNetWorth
SEG800013,58,464240.0,24324.0,1,8.5,Central,0.84,0.094,Mechanic,Mainstream
SEG800014,66,546509.0,26396.0,3,8.9,West,0.09,0.271,Tailor,Mainstream
SEG800015,73,153735.0,2948.0,4,1.0,East,0.06,0.141,Banker,Budget
SEG800016,25,289686.0,4237.0,6,0.4,North,0.67,0.279,Civil Servant,Budget
SEG800017,41,138991.0,8001.0,2,0.1,East,0.19,0.272,Teacher,Budget
SEG800018,24,603826.0,31794.0,1,0.9,West,0.68,0.034,Teacher,Affluent
SEG800019,57,819293.0,28931.0,3,3.7,West,0.84,0.127,Security Guard,Affluent
SEG800020,77,523933.0,23325.0,2,7.7,Central,0.74,0.05,Software Developer,Mainstream
SEG800021,70,509358.0,24126.0,6,7.6,East,0.38,0.2,Police Officer,Mainstream
SEG800022,71,1268686.0,64757.0,2,0.3,North,0.18,0.179,Plumber,HighNetWorth
SEG800023,52,245678.0,6395.0,2,4.2,Central,0.69,0.24,Banker,Budget
SEG800024,40,649268.0,32360.0,4,5.5,West,0.78,0.081,Civil Servant,Affluent
SEG800025,34,286816.0,16503.0,5,0.7,South,0.92,0.315,Engineer,Mainstream
SEG800026,56,1619702.0,84743.0,6,0.5,North,0.16,0.029,Mechanic,HighNetWorth
SEG800027,26,428732.0,10058.0,4,1.1,Central,0.42,0.056,Shop Owner,Mainstream
SEG800028,69,203025.0,9635.0,5,4.6,West,0.89,0.367,Tailor,Budget
SEG800029,21,757811.0,24494.0,2,1.5,South,0.56,0.238,Civil Servant,Affluent
SEG800030,24,1228424.0,48748.0,2,15.4,North,0.2,0.473,Mechanic,HighNetWorth
SEG800031,59,601762.0,24308.0,1,1.7,East,0.97,0.056,Architect,Mainstream
SEG800032,61,390216.0,20542.0,2,21.3,North,0.23,0.172,Software Developer,Mainstream
SEG800033,59,740562.0,40922.0,3,6.6,West,0.37,0.148,Doctor,Affluent
SEG800034,53,1151867.0,28561.0,2,0.1,North,,0.121,Pharmacist,Affluent
SEG800035,46,201626.0,7666.0,2,10.3,North,0.3,0.224,Police Officer,Budget
SEG800036,24,406217.0,14928.0,5,4.6,Central,0.81,0.15,Teacher,Mainstream
SEG800037,32,107902.0,6242.0,2,12.7,West,0.29,0.074,Welder,Budget
SEG800038,67,918174.0,19946.0,6,2.9,East,0.36,0.081,Engineer,Affluent
SEG800039,55,121984.0,3231.0,6,1.3,South,0.16,0.123,Chef,Budget
SEG800040,54,356751.0,9669.0,1,10.1,North,0.08,0.375,Civil Servant,Mainstream
SEG800041,65,369829.0,10224.0,2,2.2,North,,0.238,Software Developer,Budget
SEG800042,56,1134734.0,60220.0,3,11.4,South,0.63,0.016,Carpenter,HighNetWorth
SEG800043,60,1042731.0,59429.0,1,0.7,West,0.21,0.368,Civil Servant,HighNetWorth
SEG800044,55,273825.0,5707.0,4,11.0,North,0.76,0.361,Driver,Budget
SEG800045,45,583442.0,19877.0,4,2.4,East,0.68,0.051,Accountant,Mainstream
SEG800046,27,534664.0,22066.0,3,1.1,East,0.98,0.139,Pharmacist,Mainstream
SEG800047,30,321420.0,7254.0,5,4.9,Central,0.92,0.43,Plumber,Budget
SEG800048,76,294719.0,9822.0,1,4.7,South,0.37,0.33,Architect,Budget
SEG800049,27,472337.0,6420.0,5,3.9,North,0.34,0.023,Engineer,Mainstream
SEG800050,36,296996.0,17626.0,2,8.1,West,0.25,0.128,Mechanic,Mainstream
SEG800051,59,250934.0,14978.0,4,9.7,West,0.25,0.142,Plumber,Mainstream
SEG800052,49,369897.0,12360.0,6,3.8,South,0.43,0.135,Teacher,Mainstream
SEG800053,71,416639.0,12254.0,6,2.4,Central,,0.343,Driver,Mainstream
SEG800054,59,1074506.0,58838.0,2,20.9,South,0.92,0.251,Nurse,HighNetWorth
SEG800055,69,1392784.0,40529.0,2,1.0,East,0.71,0.377,Civil Servant,HighNetWorth
SEG800056,60,223145.0,7100.0,3,2.1,North,0.97,0.106,Electrician,Budget
SEG800057,72,406104.0,9051.0,1,7.2,Central,0.47,0.117,Electrician,Mainstream
SEG800058,67,252252.0,5624.0,4,13.3,East,0.57,0.114,Teacher,Budget
SEG800059,41,50663.0,1988.0,1,4.2,West,0.06,0.271,Banker,Budget
SEG800060,28,215669.0,7561.0,3,1.6,South,0.81,0.103,Nurse,Budget
SEG800061,30,175321.0,2848.0,1,6.0,West,0.71,0.059,Tailor,Budget
SEG800062,79,160611.0,1689.0,3,8.2,West,0.2,0.1,Driver,Budget
SEG800063,27,267303.0,6984.0,5,4.7,East,0.11,0.231,Lawyer,Budget
SEG800064,42,164133.0,7684.0,3,6.3,South,0.12,0.122,Chef,Budget
SEG800065,37,355936.0,12988.0,4,12.0,South,0.63,0.208,Police Officer,Mainstream
SEG800066,30,497460.0,20577.0,2,7.1,North,0.18,0.151,Chef,Mainstream
SEG800067,50,280511.0,4945.0,6,2.8,North,0.14,0.268,Engineer,Budget
SEG800068,75,172578.0,8507.0,1,4.2,Central,0.81,0.357,Banker,Budget
SEG800069,35,523969.0,21197.0,4,10.8,West,0.26,0.269,Tailor,Mainstream
SEG800070,78,1058218.0,21192.0,3,7.0,South,0.38,0.248,Carpenter,Affluent
SEG800071,68,340602.0,12571.0,1,0.2,South,0.06,0.047,Security Guard,Mainstream
