claim_id,claim_amount,policy_age_months,report_delay_days,num_prior_claims,incident_type,has_police_report,has_witness,claimant_age,region,is_fraud
CLM500000,11218.0,211,6.0,0,Theft,1,1,36.0,East,0
CLM500001,25079.0,190,2.0,1,Medical,1,1,70.0,South,0
CLM500002,30240.0,153,4.0,0,Medical,0,0,19.0,West,0
CLM500003,14372.0,116,5.0,0,Accident,0,0,39.0,North,0
CLM500004,100075.0,5,2.0,0,Fire,0,0,31.0,Central,0
CLM500005,23203.0,182,3.0,0,Accident,0,0,24.0,South,0
CLM500006,17752.0,130,7.0,0,NaturalDisaster,0,1,56.0,East,0
CLM500007,34380.0,128,6.0,1,Medical,0,0,33.0,East,0
CLM500008,14401.0,171,8.0,2,Accident,0,1,27.0,South,0
CLM500009,64413.0,218,10.0,0,Medical,1,0,73.0,East,0
CLM500010,54846.0,50,8.0,2,Theft,1,0,60.0,Central,0
CLM500011,33008.0,216,8.0,0,Accident,0,1,63.0,South,0
CLM500012,47727.0,37,5.0,0,Accident,0,1,73.0,South,0
CLM500013,19936.0,154,4.0,0,Accident,0,0,69.0,East,0
CLM500014,8936.0,117,6.0,1,Theft,1,1,46.0,North,0
CLM500015,22914.0,181,7.0,0,Medical,1,1,53.0,East,0
CLM500016,19906.0,129,4.0,0,NaturalDisaster,1,1,28.0,East,0
CLM500017,5830.0,140,5.0,2,Accident,0,0,70.0,South,0
CLM500018,12756.0,105,2.0,1,Accident,1,0,51.0,West,0
CLM500019,11111.0,158,7.0,0,Medical,1,0,55.0,East,0
CLM500020,12797.0,71,11.0,0,Fire,0,1,37.0,North,0
CLM500021,86392.0,70,3.0,0,Accident,1,1,45.0,South,0
CLM500022,44782.0,98,4.0,0,Medical,1,1,19.0,North,0
CLM500023,64343.0,49,6.0,1,Medical,1,0,48.0,East,0
CLM500024,44697.0,75,2.0,0,Accident,0,1,46.0,North,0
CLM500025,70715.0,20,7.0,0,Accident,0,1,63.0,East,0
CLM500026,30380.0,60,2.0,1,Accident,0,0,53.0,Central,0
CLM500027,99961.0,99,8.0,2,Medical,0,0,73.0,Central,0
CLM500028,11102.0,113,5.0,0,Accident,0,0,23.0,South,0
CLM500029,28164.0,151,11.0,0,Medical,0,0,21.0,Central,0
CLM500030,13096.0,95,6.0,1,Accident,1,1,40.0,Central,0
CLM500031,80287.0,148,2.0,1,Accident,1,0,18.0,Central,0
CLM500032,41599.0,105,7.0,2,Medical,0,0,50.0,Central,1
CLM500033,76830.0,105,6.0,1,Medical,1,1,21.0,South,0
CLM500034,9674.0,1,4.0,0,Accident,1,1,36.0,Central,0
CLM500035,18362.0,187,7.0,0,Medical,0,0,57.0,East,0
CLM500036,7136.0,166,12.0,0,Medical,0,0,60.0,Central,0
CLM500037,39697.0,14,7.0,0,Accident,0,1,48.0,West,0
CLM500038,21110.0,12,,1,Accident,0,1,19.0,North,0
CLM500039,54419.0,177,8.0,0,NaturalDisaster,1,1,65.0,South,0
CLM500040,30495.0,50,8.0,0,Theft,1,1,45.0,Central,0
CLM500041,5409.0,215,9.0,0,Accident,1,1,41.0,East,0
CLM500042,7877.0,193,5.0,1,Accident,0,1,72.0,North,0
CLM500043,31759.0,99,4.0,1,Accident,1,1,35.0,East,0
CLM500044,43156.0,236,5.0,0,Accident,0,1,65.0,Central,0
CLM500045,5049.0,127,5.0,0,Theft,0,1,71.0,East,0
CLM500046,27812.0,237,4.0,1,Theft,0,0,65.0,East,0
CLM500047,13175.0,13,8.0,0,Accident,0,0,65.0,West,0
CLM500048,12232.0,142,5.0,0,Accident,0,0,25.0,South,0
CLM500049,17606.0,196,7.0,0,Accident,1,1,28.0,South,0
CLM500050,32821.0,63,6.0,0,Theft,0,0,25.0,Central,0
CLM500051,16895.0,199,5.0,0,Accident,0,1,73.0,East,0
CLM500052,6070.0,200,7.0,2,Accident,0,1,58.0,East,0
CLM500053,32614.0,188,6.0,1,Medical,1,0,,East,0
CLM500054,22459.0,156,4.0,0,Accident,0,0,60.0,West,0
CLM500055,14036.0,23,1.0,0,Theft,1,1,25.0,South,0
CLM500056,23243.0,236,4.0,0,Medical,1,1,30.0,North,0
CLM500057,22510.0,211,0.0,0,Fire,1,0,25.0,East,0
CLM500058,30798.0,132,5.0,1,Fire,1,0,34.0,West,0
CLM500059,24384.0,96,0.0,0,Accident,0,1,73.0,East,0
CLM500060,33939.0,126,1.0,0,Accident,0,1,61.0,Central,0
CLM500061,28599.0,236,7.0,0,Theft,1,1,21.0,Central,0
CLM500062,57283.0,11,1.0,0,Medical,0,0,39.0,South,0
CLM500063,105640.0,115,2.0,0,Medical,1,0,49.0,South,0
CLM500064,29375.0,47,4.0,0,Accident,1,1,57.0,South,0
CLM500065,18083.0,195,10.0,0,Accident,1,0,31.0,South,0
