policy_id,policy_start_date,age,occupation,region,policy_type,channel,payment_frequency,policy_tenure_years,annual_premium,sum_assured,num_late_payments,claims_count,has_agent,will_lapse
POL100000,2019-10-14,25.0,Nurse,South,Term,Online,Monthly,3.4,6971.0,257927.0,1,0,0,0
POL100001,2022-04-14,58.0,Mechanic,South,WholeLife,Bancassurance,Quarterly,5.3,22044.0,727452.0,1,1,0,0
POL100002,2022-09-22,53.0,Nurse,South,Term,Agent,Quarterly,2.0,14397.0,820629.0,1,0,1,0
POL100003,2023-10-21,42.0,Architect,South,Endowment,Online,Monthly,3.0,5979.0,149475.0,0,1,0,1
POL100004,2024-02-20,42.0,Chef,North,Term,Bancassurance,Monthly,3.9,6257.0,200224.0,1,1,0,1
POL100005,2022-12-08,63.0,Electrician,North,Endowment,Online,Quarterly,2.0,13397.0,348322.0,2,0,0,0
POL100006,2019-01-28,25.0,Plumber,West,Term,Agent,Monthly,6.9,8680.0,243040.0,0,0,1,0
POL100007,2021-12-28,55.0,Shop Owner,Central,Term,Online,Quarterly,9.5,9094.0,372854.0,2,0,0,0
POL100008,2020-03-30,30.0,Police Officer,North,Term,Online,Monthly,0.7,18697.0,523516.0,0,1,0,0
POL100009,2019-02-11,25.0,Police Officer,East,Term,Agent,Annual,7.4,6807.0,197403.0,2,0,1,0
POL100010,2024-07-24,46.0,Lawyer,South,ULIP,Online,Quarterly,0.3,10359.0,466155.0,0,1,0,0
POL100011,2020-01-03,68.0,Chef,South,Endowment,Agent,Monthly,0.9,,829504.0,0,0,1,0
POL100012,2020-06-24,57.0,Civil Servant,East,Term,Bancassurance,Quarterly,3.4,14832.0,355968.0,0,0,0,0
POL100013,2021-01-10,58.0,Doctor,North,WholeLife,Bancassurance,Monthly,7.7,9138.0,182760.0,4,0,0,1
POL100014,2021-10-21,56.0,Accountant,North,ULIP,Bancassurance,Annual,14.6,8566.0,214150.0,2,1,0,0
POL100015,2022-08-16,59.0,Lawyer,Central,Term,Online,Quarterly,4.2,4149.0,165960.0,1,0,0,1
POL100016,2020-11-13,46.0,Salesperson,East,Endowment,Agent,Monthly,0.2,5836.0,338488.0,4,0,1,1
POL100017,2023-10-10,27.0,Nurse,North,Endowment,Bancassurance,Quarterly,6.1,11605.0,255310.0,0,0,0,0
POL100018,2019-12-13,62.0,Security Guard,Central,Endowment,Agent,Monthly,0.9,,147808.0,3,0,1,1
POL100019,2024-10-12,43.0,,West,WholeLife,Online,Annual,1.0,10275.0,390450.0,1,0,0,1
POL100020,2024-02-27,45.0,Security Guard,West,Endowment,Agent,Annual,0.4,16641.0,981819.0,3,1,1,0
POL100021,2022-08-12,39.0,Security Guard,West,WholeLife,Online,Quarterly,2.6,5466.0,213174.0,1,1,0,0
POL100022,2019-04-18,29.0,Engineer,East,ULIP,Online,Monthly,1.6,8795.0,492520.0,0,1,0,0
POL100023,2023-05-23,66.0,Nurse,West,WholeLife,Agent,Quarterly,8.2,10876.0,467668.0,1,1,1,0
POL100024,2023-03-30,59.0,Farmer,South,Endowment,Agent,Monthly,5.1,6960.0,111360.0,1,0,1,0
POL100025,2022-09-29,52.0,Salesperson,West,ULIP,Agent,Monthly,1.8,20247.0,688398.0,2,0,1,0
POL100026,2020-09-08,40.0,Software Developer,Central,ULIP,Agent,Annual,1.5,15589.0,763861.0,1,2,1,1
POL100027,2021-08-04,61.0,Teacher,Central,ULIP,Agent,Monthly,2.9,11442.0,423354.0,2,0,1,0
POL100028,2021-07-02,47.0,Salesperson,East,Term,Bancassurance,Monthly,1.1,24273.0,558279.0,2,0,0,0
POL100029,2022-09-03,42.0,Electrician,North,Term,Bancassurance,Monthly,0.2,4678.0,107594.0,2,0,0,0
POL100030,2020-12-29,43.0,Welder,North,Term,Broker,Annual,1.8,9859.0,433796.0,2,0,0,0
POL100031,2021-05-31,32.0,Architect,East,Term,Agent,Annual,1.2,11887.0,416045.0,2,0,1,0
POL100032,2024-06-20,25.0,Welder,West,WholeLife,Agent,Monthly,5.2,6265.0,250600.0,2,1,1,0
POL100033,2021-09-25,48.0,Salesperson,North,ULIP,Online,Monthly,4.2,11503.0,356593.0,3,0,0,1
POL100034,2022-07-31,64.0,Chef,East,Term,Online,Annual,1.0,5691.0,170730.0,0,0,0,1
POL100035,2024-06-27,24.0,Engineer,East,Endowment,Bancassurance,Monthly,8.0,13979.0,615076.0,1,0,0,1
POL100036,2024-09-09,63.0,Architect,East,Term,Bancassurance,Annual,3.3,16796.0,251940.0,1,0,0,0
POL100037,2022-05-25,61.0,Lawyer,East,ULIP,Online,Annual,12.1,11341.0,385594.0,3,0,0,1
POL100038,2020-08-06,34.0,Teacher,South,WholeLife,Online,Quarterly,6.0,3919.0,121489.0,1,0,0,1
POL100039,2019-08-09,51.0,Engineer,East,Term,Broker,Monthly,9.3,6103.0,305150.0,2,0,0,0
POL100040,2024-03-06,29.0,Electrician,East,Endowment,Agent,Quarterly,12.7,13126.0,616922.0,0,0,1,0
