customer_id,age,annual_income,family_size,num_dependents,owns_home,owns_vehicle,risk_appetite,existing_life_policy,region,recommended_products
PRD600000,67.0,476649.0,1,1,0,0,Low,0,East,Life
PRD600001,65.0,500397.0,5,4,1,1,Medium,1,South,Auto
PRD600002,52.0,248288.0,2,2,0,1,Medium,0,West,Life
PRD600003,74.0,537914.0,4,4,0,1,Medium,0,South,Health
PRD600004,36.0,628444.0,2,1,0,1,High,1,Central,Home
PRD600005,33.0,641246.0,1,0,1,1,Medium,0,Central,Home|Life|Investment
PRD600006,60.0,94551.0,4,2,0,1,Medium,0,North,Auto|Home|Life
PRD600007,63.0,443345.0,5,4,1,1,Medium,0,West,Auto|Home|Life|Travel
PRD600008,21.0,495691.0,4,2,0,0,Low,1,West,Home|Travel
PRD600009,22.0,1011005.0,2,1,1,1,High,1,East,Auto|Home|Life|Travel
PRD600010,23.0,,2,0,0,0,Low,0,North,Auto|Home|Health
PRD600011,46.0,653946.0,4,4,0,0,Medium,1,North,Life|Health
PRD600012,58.0,1587452.0,3,2,0,1,Low,0,West,Auto|Home|Life|Health|Travel|Investment
PRD600013,23.0,277376.0,5,4,1,1,Low,0,West,Health|Investment
PRD600014,35.0,308097.0,4,3,1,1,Low,0,Central,Auto|Home|Life
PRD600015,49.0,1039008.0,5,5,0,1,Low,0,North,Auto|Travel|Investment
PRD600016,46.0,751627.0,3,2,0,1,Low,0,North,Auto|Home|Life|Travel
PRD600017,22.0,486379.0,2,1,1,1,Low,0,East,Home|Health|Travel
PRD600018,27.0,543952.0,1,0,0,1,High,0,South,Auto|Home|Life
PRD600019,74.0,433113.0,1,1,1,1,Low,1,South,Home|Life
PRD600020,58.0,158887.0,3,1,0,1,Low,0,South,Auto|Life|Health
PRD600021,53.0,485063.0,3,3,1,1,Medium,1,East,Travel|Investment
PRD600022,23.0,770102.0,4,3,1,0,High,1,North,Home|Life|Health
PRD600023,28.0,305093.0,5,5,0,1,Medium,0,South,Home|Life
PRD600024,35.0,235851.0,5,3,0,1,Low,0,North,Auto|Life|Health
PRD600025,46.0,225319.0,2,1,1,1,High,0,West,Auto|Life|Investment
PRD600026,63.0,512320.0,2,0,1,1,Low,0,South,Investment
PRD600027,29.0,315812.0,1,1,1,0,Medium,0,South,Auto|Home|Life
PRD600028,62.0,860239.0,1,0,1,1,High,0,Central,Auto|Health|Travel|Investment
PRD600029,47.0,323606.0,2,2,0,0,Medium,0,North,Life
PRD600030,45.0,337599.0,2,2,0,0,Low,1,South,Home
PRD600031,50.0,187533.0,1,0,1,1,Low,0,West,Auto|Home|Life|Investment
