customer_id,age,bmi,is_smoker,annual_income,credit_score,prior_violations,occupation_class,vehicle_age,region,risk_tier
CUS300000,61,20.5,0,566668.0,595.0,1,Class4_Hazardous,2,West,High
CUS300001,20,24.0,1,965508.0,531.0,1,Class1_Office,3,South,Low
CUS300002,40,25.4,1,1380262.0,390.0,2,Class2_Field,12,Central,High
CUS300003,48,31.4,0,570029.0,713.0,0,Class1_Office,5,West,Medium
CUS300004,46,22.5,0,638509.0,494.0,0,Class1_Office,0,North,Medium
CUS300005,56,24.8,0,133874.0,368.0,0,Class2_Field,1,West,Low
CUS300006,64,15.0,1,342164.0,377.0,1,Class1_Office,2,South,High
CUS300007,55,25.9,0,304286.0,495.0,1,Class1_Office,13,Central,High
CUS300008,62,15.8,0,521633.0,808.0,1,Class1_Office,13,West,Low
CUS300009,60,31.8,0,522428.0,772.0,1,Class1_Office,3,East,Medium
CUS300010,24,26.6,0,507624.0,401.0,1,Class1_Office,15,West,Low
CUS300011,58,33.4,0,655104.0,477.0,0,Class1_Office,14,East,Low
CUS300012,62,23.4,0,1982932.0,368.0,0,Class1_Office,2,Central,Medium
CUS300013,37,26.5,0,874005.0,408.0,2,Class1_Office,15,West,Low
CUS300014,46,20.2,0,795036.0,659.0,1,Class2_Field,7,East,Low
CUS300015,32,25.4,0,555169.0,497.0,0,Class1_Office,2,West,Low
CUS300016,36,27.1,0,560418.0,714.0,0,Class2_Field,14,North,Low
CUS300017,29,24.9,0,710804.0,,0,Class2_Field,3,West,Low
CUS300018,61,29.4,0,551557.0,744.0,2,Class1_Office,9,Central,Medium
CUS300019,63,21.4,1,1562159.0,689.0,1,Class2_Field,7,North,High
CUS300020,37,35.2,0,333425.0,467.0,0,Class1_Office,12,East,Medium
CUS300021,30,27.6,0,833871.0,849.0,0,Class4_Hazardous,3,South,Low
CUS300022,29,19.8,0,356299.0,347.0,2,Class1_Office,4,Central,Low
CUS300023,51,25.9,0,698797.0,318.0,0,Class4_Hazardous,9,East,Low
CUS300024,60,23.3,0,747109.0,891.0,1,Class2_Field,8,Central,Medium
CUS300025,67,28.3,1,701538.0,,0,Class1_Office,4,South,High
CUS300026,27,18.4,1,484211.0,,1,Class3_Manual,3,Central,Low
CUS300027,70,25.6,0,262667.0,521.0,2,Class3_Manual,6,East,Medium
CUS300028,36,34.3,0,440462.0,519.0,1,Class1_Office,14,Central,Low
CUS300029,26,27.5,0,721292.0,521.0,1,Class4_Hazardous,12,Central,Low
CUS300030,26,17.6,0,146783.0,410.0,2,Class1_Office,1,West,Low
CUS300031,45,26.8,0,677860.0,431.0,1,Class2_Field,11,South,Low
CUS300032,53,25.0,0,464756.0,364.0,2,Class4_Hazardous,14,North,Medium
CUS300033,66,29.6,0,255589.0,744.0,0,Class1_Office,8,Central,Low
CUS300034,47,28.0,0,597555.0,754.0,1,Class1_Office,6,East,Medium
CUS300035,23,27.7,0,1389741.0,630.0,0,Class1_Office,14,West,Low
CUS300036,58,23.9,0,1079214.0,728.0,1,Class3_Manual,5,North,Medium
CUS300037,24,17.5,0,326050.0,347.0,0,Class1_Office,6,East,Low
CUS300038,32,27.0,0,1973441.0,845.0,0,Class2_Field,14,Central,Low
CUS300039,34,21.1,1,769134.0,661.0,3,Class4_Hazardous,2,Central,High
CUS300040,62,29.8,0,891440.0,512.0,0,Class1_Office,0,East,Medium
CUS300041,68,21.5,0,569841.0,435.0,0,Class2_Field,9,South,Low
CUS300042,26,38.4,1,450807.0,599.0,2,Class1_Office,12,Central,High
CUS300043,66,21.0,0,205641.0,531.0,1,Class3_Manual,5,South,Medium
CUS300044,38,27.2,0,1400277.0,514.0,1,Class2_Field,12,North,Medium
CUS300045,61,16.9,1,687513.0,398.0,1,Class1_Office,13,Central,High
CUS300046,74,,0,481402.0,840.0,0,Class1_Office,3,East,Medium
CUS300047,62,21.8,0,1081554.0,563.0,0,Class2_Field,10,South,Low
CUS300048,33,27.4,1,628504.0,361.0,2,Class1_Office,3,South,High
CUS300049,53,28.3,0,256605.0,690.0,0,Class3_Manual,10,West,Medium
CUS300050,49,29.7,0,543966.0,891.0,0,Class1_Office,5,South,Low
CUS300051,27,,0,406619.0,839.0,1,Class4_Hazardous,5,East,Medium
CUS300052,70,25.3,0,419241.0,434.0,0,Class2_Field,5,North,High
CUS300053,41,29.9,0,1365542.0,514.0,1,Class1_Office,9,South,Low
CUS300054,67,26.3,0,748049.0,374.0,0,Class1_Office,4,West,Low
CUS300055,45,18.4,0,867846.0,849.0,1,Class1_Office,1,North,Low
CUS300056,48,21.9,0,1134829.0,325.0,0,Class2_Field,3,North,Low
CUS300057,65,30.8,0,838062.0,827.0,3,Class1_Office,9,North,Medium
CUS300058,47,29.6,1,834699.0,778.0,1,Class1_Office,3,East,Medium
CUS300059,34,18.7,0,794590.0,611.0,2,Class3_Manual,8,Central,Low
CUS300060,25,23.9,0,603068.0,736.0,1,Class1_Office,7,Central,Low
